PennTAP_History_1971-1973.csv\10-1972-00_staff-october-1972-new-air-city-service-october_1972-city_service-nevspaper.tif,2024-10-02 11:25:42,10-1972-00,,staff-october-1972-new-air-city-service-october_1972-city_service-nevspaper.tif
PennTAP_History_1971-1973.csv\11-14-1971_NEWSPAPERSunday_Patriot_News_state-york-campus-technical-penn-state_york-program-informat.tif,2024-10-02 11:25:42,11-14-1971,,NEWSPAPERSunday_Patriot_News_state-york-campus-technical-penn-state_york-program-informat.tif
PennTAP_History_1971-1973.csv\11-14-1971_PAPERSunday_Patriot_News_14-sunday-penntap-york-campus-york_campus-continuing-education-c.tif,2024-10-02 11:25:42,11-14-1971,,PAPERSunday_Patriot_News_14-sunday-penntap-york-campus-york_campus-continuing-education-c.tif
PennTAP_History_1971-1973.csv\11-15-1972_state-college-program-president-support-university-education-state_college-centre-daily.tif,2024-10-02 11:25:42,11-15-1972,,state-college-program-president-support-university-education-state_college-centre-daily.tif
PennTAP_History_1971-1973.csv\11-1971-00_service-local-time-technical-state-government-editor-printed-list-available.tif,2024-10-02 11:25:42,11-1971-00,,service-local-time-technical-state-government-editor-printed-list-available.tif
PennTAP_History_1971-1973.csv\12-1972-00_society-american-pennsylvania-graduate-zoology-phi-penntap-division-society_pennsylvania.tif,2024-10-02 11:25:42,12-1972-00,,society-american-pennsylvania-graduate-zoology-phi-penntap-division-society_pennsylvania.tif
PennTAP_History_1971-1973.csv\15-1971-00_technical-penntap-service-information-amount-technical_service-ever-heard-stand-pennsylva.tif,2024-10-02 11:25:42,15-1971-00,,technical-penntap-service-information-amount-technical_service-ever-heard-stand-pennsylva.tif
PennTAP_History_1971-1973.csv\1972-00-00_penn-state-graduate-bachelor-degree-hunter-penntap-cote-recently-penn_state.tif,2024-10-02 11:25:42,1972-00-00,,penn-state-graduate-bachelor-degree-hunter-penntap-cote-recently-penn_state.tif
PennTAP_History_1971-1973.csv\1972-00-00_penn-state-penn_state-university-technical-course-correspondence-year-become-educational.tif,2024-10-02 11:25:42,1972-00-00,,penn-state-penn_state-university-technical-course-correspondence-year-become-educational.tif
PennTAP_History_1971-1973.csv\1972-00-00_phone-412-phone_412-1031-new-ken-penntap-information-technical-pennsylvania.tif,2024-10-02 11:25:42,1972-00-00,,phone-412-phone_412-1031-new-ken-penntap-information-technical-pennsylvania.tif
PennTAP_History_1971-1973.csv\1972-00-00_state-arble-business-fire-safety-equipment-university-penn-william-fire_safety.tif,2024-10-02 11:25:42,1972-00-00,,state-arble-business-fire-safety-equipment-university-penn-william-fire_safety.tif
PennTAP_History_1971-1973.csv\2-00-1972_biomaterials-opportunity-hazleton-technology-opportunity_biomaterials-biomaterials_technol.tif,2024-10-02 11:25:42,2-00-1972_,,iomaterials-opportunity-hazleton-technology-opportunity_biomaterials-biomaterials_technol.tif
PennTAP_History_1971-1973.csv\8-1971-00_sand-casting-foundry-davis-workshop-pennsylvania-control-sand_casting-foundry_sand-newly.tif,2024-10-02 11:25:42,8-1971-00_,,and-casting-foundry-davis-workshop-pennsylvania-control-sand_casting-foundry_sand-newly.tif
PennTAP_History_1971-1973.csv\beaver-andrew-fall-state-im-ted-technical-penntap-beaver_fall-charles.tif,2024-10-02 11:25:42,NoDateFound,,ew-fall-state-im-ted-technical-penntap-beaver_fall-charles.tif
PennTAP_History_1971-1973.csv\burkhard-erie-penntap-charles-education-state-year-charles_burkhard-manager-material.tif,2024-10-02 11:25:42,NoDateFound,,ie-penntap-charles-education-state-year-charles_burkhard-manager-material.tif
PennTAP_History_1971-1973.csv\campus-center-technical-assistance-technical_assistance-university-assistance_center-set-director-ps.tif,2024-10-02 11:25:42,NoDateFound,,er-technical-assistance-technical_assistance-university-assistance_center-set-director-ps.tif
PennTAP_History_1971-1973.csv\chemical-engineering-university-degree-brown-state-chemical_engineering-mecormick-spent-nuniber.tif,2024-10-02 11:25:42,NoDateFound,,gineering-university-degree-brown-state-chemical_engineering-mecormick-spent-nuniber.tif
PennTAP_History_1971-1973.csv\continuing-education-continuing_education-temm-course-page-20-421-adult-go.tif,2024-10-02 11:25:42,NoDateFound,,education-continuing_education-temm-course-page-20-421-adult-go.tif
PennTAP_History_1971-1973.csv\continuing-education-program-year-university-state-motorcycle-safety-pennsylvania-last.tif,2024-10-02 11:25:42,NoDateFound,,education-program-year-university-state-motorcycle-safety-pennsylvania-last.tif
